sector,latent_traffic,month_year
PYN8M_3,206199.9387880681,2019-04-01
CKRSM_1,200648.72217053766,2019-04-01
BP22M_1,191795.52111799153,2019-04-01
R522M_2,190941.25889574896,2019-04-01
TRS3M_3,188123.72247353318,2019-04-01
PSKKM_1,186917.7400841759,2019-04-01
SLPWM_1,185521.81834893595,2019-04-01
TRUGM_3,185411.9578484796,2019-04-01
LZ42M_1,183423.31384921487,2019-04-01
KGK2M_2,183199.74861481276,2019-04-01
UK54M_1,179708.76401467103,2019-04-01
BMKSM_3,177468.7862376741,2019-04-01
N163M_1,175964.7839433928,2019-04-01
RTBTM_2,174376.4412724529,2019-04-01
SS76M_1,171238.16196225307,2019-04-01
TNPNM_1,166991.08420758846,2019-04-01
BA14M_1,166830.1155124777,2019-04-01
TC34M_2,159537.26153527232,2019-04-01
WNCNM_2,158788.37229270014,2019-04-01
SN26M_1,154634.12574767397,2019-04-01
CP30M_2,153697.42833964128,2019-04-01
RTLKM_1,150219.71300510367,2019-04-01
KUBNM_1,148780.70175337963,2019-04-01
SKH2M_3,145913.19492855883,2019-04-01
SD22M_3,144590.0308949264,2019-04-01
NWN2M_2,140390.78007264546,2019-04-01
O392M_1,138061.19371758393,2019-04-01
WPHLM_2,137343.00002053817,2019-04-01
BT39M_1,134158.6088592485,2019-04-01
WNCNM_1,133982.19331675675,2019-04-01
YMMTM_2,133731.7519734435,2019-04-01
LGP1M_3,133150.5607675822,2019-04-01
KTB4M_1,124611.44879540711,2019-04-01
VDE1M_2,124220.33596777415,2019-04-01
NIPNM_2,121966.41933422844,2019-04-01
BKH2M_1,119472.66682774582,2019-04-01
SBSAM_2,118685.6536748312,2019-04-01
KPSNM_1,117185.56038478174,2019-04-01
SLPWM_3,109109.57867322142,2019-04-01
EK80M_3,107695.94427124417,2019-04-01
BCSCM_1,105854.5562839613,2019-04-01
RD28M_1,103317.66136148165,2019-04-01
TC34M_1,102328.12134137262,2019-04-01
S3Y5M_2,99532.46860263783,2019-04-01
R135M_2,96723.29087419271,2019-04-01
TSM2M_3,92446.3662223252,2019-04-01
ON88M_3,91419.01742318849,2019-04-01
TBY3M_2,89830.81313677359,2019-04-01
PDTHM_3,89704.9869543348,2019-04-01
SD22M_1,87998.21650738767,2019-04-01
WPC2M_2,83805.16790188396,2019-04-01
LPHOM_2,83785.77864725492,2019-04-01
DKWWM_3,82825.05817014338,2019-04-01
DHEWM_3,81574.37903895004,2019-04-01
WS39M_2,81061.23310608341,2019-04-01
SKSVM_2,81048.99115949428,2019-04-01
VPGSM_3,81038.9844449433,2019-04-01
KSPNM_2,79542.28160313774,2019-04-01
TB51M_2,78184.86812626923,2019-04-01
EK59M_3,76199.2376966647,2019-04-01
SSR1M_3,75616.82221959093,2019-04-01
HPHGM_2,75589.22756069031,2019-04-01
TCCTM_3,75388.93967972246,2019-04-01
MPPCM_2,74709.92262793904,2019-04-01
WTTNM_2,69208.00419150674,2019-04-01
BPMNM_2,61662.44517753014,2019-04-01
KTL5M_1,59612.60377595114,2019-04-01
LP57M_1,57703.70654828395,2019-04-01
RDSWM_2,56533.579695940534,2019-04-01
PNM1M_1,54441.00235887833,2019-04-01
CDTEM_2,54330.92154405426,2019-04-01
CT13M_1,53928.495344533214,2019-04-01
PS68M_1,53792.86289518671,2019-04-01
TC34M_3,52445.72227320778,2019-04-01
KNS8M_2,49222.41483171299,2019-04-01
RN18M_1,49195.06720617319,2019-04-01
PT69M_3,48614.7066923278,2019-04-01
SSK3M_2,47632.89506126885,2019-04-01
MFKNM_1,45331.8138556687,2019-04-01
TSM1M_2,43804.52284817031,2019-04-01
CS28M_3,39741.13328527872,2019-04-01
MNL1M_3,39023.511063063124,2019-04-01
PPN5M_2,35366.068566694405,2019-04-01
MPRWM_1,35176.18596176193,2019-04-01
KPSNM_2,33930.19423650386,2019-04-01
SWPSM_2,32892.59900761898,2019-04-01
LPK1M_2,32043.221669944687,2019-04-01
P125M_1,32008.25839973062,2019-04-01
PS68M_2,29435.846152523336,2019-04-01
NN24M_3,28859.40793266606,2019-04-01
MTT1M_1,28839.141867812377,2019-04-01
SNK2M_1,28011.37874094381,2019-04-01
P623M_1,27809.634678903218,2019-04-01
PKVLM_1,24952.096294126335,2019-04-01
SLA3M_1,24438.138662861726,2019-04-01
RM08M_2,23649.591929328453,2019-04-01
P3S8M_3,23605.56656404316,2019-04-01
LS26M_3,20012.418505677724,2019-04-01
RSC2M_1,19700.901654142992,2019-04-01
SMWTM_1,18796.389247690324,2019-04-01
CS33M_2,18321.115129912847,2019-04-01
RB22M_2,18307.569087121195,2019-04-01
DCRNM_3,17986.607224363004,2019-04-01
BKUMM_1,13742.20419487948,2019-04-01
BFK2M_2,12402.127405794972,2019-04-01
EK50M_1,10876.4870311571,2019-04-01
BFK2M_3,10805.952585491983,2019-04-01
BR48M_1,10607.194403367925,2019-04-01
SV93M_2,10368.678642748951,2019-04-01
AM28M_1,9940.79632535475,2019-04-01
SA13M_1,9309.481877029177,2019-04-01
HKDOM_3,8942.53510712825,2019-04-01
AKW2M_3,4748.88619788131,2019-04-01
FS3DM_2,4692.900173933491,2019-04-01
MSTNM_2,3553.745958126567,2019-04-01
PKGTM_2,2149.8724443453434,2019-04-01
SN21M_3,341.390126547069,2019-04-01
SWYIM_2,0.0,2019-04-01
AKW2M_2,0.0,2019-04-01
BBOSM_1,0.0,2019-04-01
SB22M_1,0.0,2019-04-01
STN3M_2,0.0,2019-04-01
STN5M_3,0.0,2019-04-01
C910M_2,0.0,2019-04-01
KL17M_3,0.0,2019-04-01
ADK2M_3,0.0,2019-04-01
PD13M_2,0.0,2019-04-01
N143M_3,0.0,2019-04-01
MUPNM_1,0.0,2019-04-01
WITNM_1,0.0,2019-04-01
L114M_1,0.0,2019-04-01
TPSIM_3,0.0,2019-04-01
KSS2M_1,0.0,2019-04-01
SP37M_1,0.0,2019-04-01
